Symbol,Company_Name,StartDate,EndDate,AdjEndDate,Total_Return,Price,MarketCap,EnterpriseValue,Sales,EBIT,OCF,FCF,Capex,EBIT_ROIC,OCF_ROIC,FCF_ROIC,Sales_Capital,CurrentAssets,Cash,AccountsPayable,NetFixedAssets,TangibleCapital,ROA,ROE,EBITMargin,NetMargin,NetIncome,TotalAssets,ShareHoldersEquity,NetEquityChange,BuyBackYield,EBIT_EV,OCF_EV,FCF_EV,EBIT1year,EBITGrowth1year,EBIT3year,EBITGrowth3year,EBIT5year,EBITGrowth5year,Sales1year,SalesGrowth1year,Sales3year,SalesGrowth3year,Sales5year,SalesGrowth5year,OCF1year,OCFGrowth1year,OCF3year,OCFGrowth3year,OCF5year,OCFGrowth5year,SharesOutstanding,SharesOutstanding1year,NetRepurchase1year,DividendsPerShare,DividendYield,ShareholderYield1,ShareholderYield2,Sector,Cash,Investments,Cash+LT,ST_Debt,LT_Debt,Net_Cash,R_D
HD-US,"Home Depot, Inc.",12/31/2021,12/31/2021,12/31/2021,0,415.01,433370.06,473568.06,147699,22298,14810,12113,2697,0.543320277,0.360865248,0.295149274,3.598881586,29469.25,6044,13073,30688,41040.25,0.222172658,7.821371611,0.150969201,0.107908652,15938,71737,2037.75,10043,0.02317419,0.047085101,0.031273224,0.025578161,17598,0.267075804,15407,0.447264231,13085,0.704088651,125631,0.175657282,105595,0.398731001,93368,0.581901722,20474,-0.276643548,12326,0.201525231,9926,0.492041104,1044.24,1076,0.030414464,6.6,0.015903231,0.046317695,0.039077421,Consumer Discretionary,6044,0,6044,2679,40565.5,-37200.5,0
JNJ-US,Johnson & Johnson,12/31/2021,12/31/2021,12/31/2021,0,171.07,450358.9,453285.9,91419,24157,26021,22461,3560,0.640399769,0.689814232,0.595438971,2.423508984,54357,26527.75,8918.25,18810.75,37721.75,0.101718201,0.265909192,0.264244851,0.195582975,17880,175779.75,67241,1781,0.003954624,0.053293076,0.057405271,0.049551508,22631,0.067429632,20409,0.183644471,20138,0.199572947,80857,0.130625672,81329,0.124063987,71655,0.275821645,21591,0.205178083,22062,0.179448826,17196,0.513200744,2632.6,2632.167,-0.000164476,4.24,0.024785176,0.024620699,0.028739799,Health Care,26527.75,1619.5,28147.25,3238,31109.5,-6200.25,13801
UNH-US,UnitedHealth Group Incorporated,12/31/2021,12/31/2021,12/31/2021,0,502.14,472941.1,503175.1,279321,#N/A,25226,22893,2333,#N/A,#N/A,#N/A,#N/A,58438,#N/A,23199.25,8646.75,#N/A,0.07441497,0.227533031,#N/A,0.055226782,15426,207297,67796.75,4348,0.009193534,#N/A,0.050133641,0.045497084,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,252575,0.105893299,219891,0.27027027,180904,0.544028877,22278,0.132327857,10740,1.348789572,14715,0.714305131,941.851,949,0.007590373,5.8,0.011550564,0.019140936,0.020744097,Health Care,#N/A,0,#N/A,5502.5,42052,#N/A,#N/A
PG-US,Procter & Gamble Company,12/31/2021,12/31/2021,12/31/2021,0,163.58,395855.4,419188.4,77138,18353,18275,15247,3028,0.884672619,0.84984189,0.709030878,3.587146577,23805.2,10595.2,13265.4,21559.4,21504,0.11872518,0.302964731,0.246622936,0.183320802,14141,119107,46675.4,10360,0.026171173,0.045382935,0.043596149,0.036372667,16984,0.120113048,14579,0.304890596,14552,0.30731171,72470,0.06441286,66869,0.153568918,65290,0.1814673,17973,0.016802982,14803,0.234547051,14922,0.224701783,2419.95,2479.605893,0.024651705,3.4792,0.021269104,0.045920809,0.047440276,Consumer Staples,10595.2,142.8,10738,10089,21682.6,-21033.6,#N/A
BAC-US,Bank of America Corp,12/31/2021,12/31/2021,12/31/2021,0,44.49,364109.75,865188.75,94008,#N/A,22935,22935,0,#N/A,#N/A,#N/A,#N/A,924622,#N/A,#N/A,20757,#N/A,0.010215218,0.111025283,#N/A,0.323749043,30435,2979378.5,274126.75,17842,0.049001709,#N/A,0.026508666,0.026508666,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,105876,-0.112093392,106560,-0.117792793,91839,0.023617417,26356,-0.129799666,54494,-0.579127977,31341,-0.26821097,8184.08,8661.522562,0.058337964,0.84,0.018880647,0.077218611,0.067882356,Financials,#N/A,356511,#N/A,230614.5,257331.25,#N/A,#N/A
V-US,Visa Inc. Class A,12/31/2021,12/31/2021,12/31/2021,0,216.71,456443.03,461556.03,24105,15830,15227,14522,705,1.563418187,1.503864102,1.434236192,2.380681958,27207.5,19613.25,173.75,2704.75,10125.25,0.147240242,0.318585245,0.656710226,0.498112425,12007,81547,37688.5,8468,0.018552151,0.034297028,0.032990578,0.031463136,14107,0.122137946,13561,0.167318044,10024,0.579209896,21846,0.103405658,20609,0.169634626,15082,0.59826283,10440,0.458524904,12713,0.197750334,5574,1.731790456,2106.238689,2124.586,0.008710936,1.5,0.006921693,0.015632629,0.025473844,Information Technology,19613.25,1370,20983.25,279.75,20875.75,-172.25,#N/A
ADBE-US,Adobe Inc.,12/31/2021,12/31/2021,12/31/2021,0,567.06,269353.5,267874.5,15134,5551,6946,6550,396,1.315558715,1.646166607,1.552316625,3.586680886,8136.25,5673.25,302.25,2058.75,4219.5,0.224680622,0.412584571,0.366790009,0.385820008,5839,25988,14152.25,3510,0.013031202,0.020722391,0.025930053,0.024451749,3969.327,0.398473847,2750,1.018545455,1299.053,3.273112798,12413.34,0.219172278,8552.815,0.769475898,5540.414,1.731564825,5321.399,0.305295844,3754.531,0.850031335,1958.642,2.546334654,471.7,480,0.01759593,0,0,0.01759593,0.013031202,Information Technology,5673.25,0,5673.25,96,4593.5,983.75,2441
PFE-US,Pfizer Inc.,12/31/2021,12/31/2021,12/31/2021,0,59.05,331439.97,341897.97,69337,18400,32291,29287,3004,0.509004398,0.893275056,0.810174555,1.91808902,45328.5,19321,4349.5,14491,36149,0.114166623,0.272329695,0.265370581,0.272567316,18899,165538.75,69397.5,-219,-0.000660753,0.053817225,0.094446305,0.085660058,13151,0.399133146,14497,0.269228116,14106,0.304409471,48648,0.425279559,53373,0.299102542,53244,0.302250019,12547,1.573603252,17829,0.811150373,14641,1.205518749,5612.87,5557,-0.009953909,1.6,0.027095682,0.017141772,0.026434928,Health Care,19321,20757.25,40078.25,3723.25,36299.5,55.5,11275
NFLX-US,"Netflix, Inc.",12/31/2021,12/31/2021,12/31/2021,0,602.44,266852,277331.94,28632.968,6516.981,658.212,126.288,531.924,1.513701395,0.152883125,0.029332957,6.650589223,9722.28775,7978.3665,613.77875,3175.1855,4305.328,0.123863037,0.380287099,0.227604103,0.176403473,5050.955,40778.54975,13281.952,479.77,0.001797888,0.023498848,0.002373373,0.000455368,4089.559,0.593565712,1634.762,2.986501399,285.753,21.80634324,23819.048,0.202103795,14893.255,0.922546012,8176.461,2.501877891,1102.774,-0.403130651,-1933.364,-1.340449083,-1161.569,-1.566657685,442.952,441.795008,-0.002612003,0,0,-0.002612003,0.001797888,Communication Services,7978.3665,27.60825,8005.97475,921.936,17128.03325,-10043.9945,2113.351
MA-US,Mastercard Incorporated Class A,12/31/2021,12/31/2021,12/31/2021,0,359.32,353052.5,359510.5,17789,9490,8263,7526,737,1.026722925,0.893973818,0.814237802,1.924591583,16494.75,8587.75,526.75,1862.75,9243,0.233387405,1.251672273,0.533475743,0.454944067,8093,34676.25,6465.75,5594,0.015844669,0.026397004,0.02298403,0.02093402,8414,0.127882101,8070,0.175960347,5653,0.678754644,15595,0.140686117,14455,0.230646835,10537,0.688241435,7556,0.093568025,6703,0.232731613,4531,0.823659236,982.557294,998,0.01571685,1.96,0.005454748,0.021171598,0.021299417,Information Technology,8587.75,1439,10026.75,680.5,13107.75,-3761.5,#N/A
DIS-US,Walt Disney Company,12/31/2021,12/31/2021,12/31/2021,0,154.89,281537.38,337559.38,67279,3633,5566,1988,3578,0.114200393,0.174962672,0.062491159,2.114860511,31799.25,16249.25,17145.5,33408,31812.5,0.010020199,0.02347313,0.053999019,0.030083681,2024,201992,86226.25,-435,-0.001545088,0.010762551,0.016488951,0.005889334,3592,0.011414254,14954,-0.757054969,14157,-0.743377834,65090,0.033630358,59509,0.130568485,55368,0.21512426,7616,-0.269170168,14295,-0.610633088,13213,-0.578748203,1817.66,1810,-0.004214209,0,0,-0.004214209,-0.001545088,Communication Services,16249.25,4272.5,20521.75,5478,51665,-36621.25,#N/A
CRM-US,"salesforce.com, inc.",12/31/2021,12/31/2021,12/31/2021,0,254.13,250318.06,255245.06,24983,917,7013,6314,699,0.114596351,0.876405899,0.789052737,3.122094476,17445.25,11507.5,3618,5682.25,8002,0.022637334,0.035375367,0.036704959,0.069607333,1739,76820,49158.5,-1246,-0.004977667,0.003592626,0.027475556,0.024737012,226,3.057522124,502.554,0.824679537,120.947,6.581833365,20286,0.231538992,12530.003,0.993854271,7907.394,2.15944798,5057,0.386790587,3118.32,1.248967393,1915.462,2.661257702,985,914,-0.072081218,0,0,-0.072081218,-0.004977667,Information Technology,11507.5,3990.5,15498,1089.75,9604.5,4803.75,4113
XOM-US,Exxon Mobil Corporation,12/31/2021,12/31/2021,12/31/2021,0,61.19,259052.13,317806.13,244605,17764,35010,23394,11616,0.077457979,0.152657277,0.102006979,1.066573354,50371.25,4028,42025.75,225019.75,229337.25,-0.017605411,-0.037266061,0.072623209,-0.024120521,-5900,335124.25,158321,101,0.000389883,0.055895712,0.1101615,0.073610915,-624,-29.46794872,19324,-0.080728628,3336,4.324940048,195486,0.251266075,278785,-0.12260344,196866,0.242494895,17015,1.057596239,34818,0.005514389,19066,0.836253016,4233.57,4228,-0.001315674,3.52,0.057525739,0.056210065,0.057915622,Energy,4028,10878.75,14906.75,17018.5,46351.5,-48463.25,#N/A
TMO-US,Thermo Fisher Scientific Inc.,12/31/2021,12/31/2021,12/31/2021,0,667.24,262924.6,272584.6,39059,10810,10194,7916,2278,0.659065968,0.621509572,0.48262407,2.381355932,20906.5,8754.5,2180,6430,16402,0.124004184,0.236065845,0.276760798,0.219283648,8565,69070.25,36282.25,1859,0.007070468,0.039657413,0.037397564,0.029040525,6056,0.785006605,3694,1.926367082,2765.2,2.909301316,28497,0.370635505,23898,0.634404553,17973.4,1.173155886,6863,0.485356258,4608.5,1.211999566,3178.5,2.207173195,394.048,396.335191,0.005804346,1.04,0.00155866,0.007363006,0.008629128,Health Care,8754.5,20.25,8774.75,709.75,19708.75,-11643.75,1390
COST-US,Costco Wholesale Corporation,12/31/2021,12/31/2021,12/31/2021,0,567.7,251736.92,248912.92,203084,7328,9569,5819,3750,0.263053038,0.34349816,0.208884501,7.290101409,29394.75,11507.75,16440,26410.5,27857.5,0.087687652,0.303105882,0.036083591,0.025432826,5165,58902.25,17040.25,453,0.001799498,0.029440015,0.038443163,0.023377654,6667,0.099145043,4551,0.610195561,3828,0.914315569,172929,0.174377924,144836,0.402165208,119598,0.698055151,9406,0.017329364,5945,0.609587889,5274,0.814372393,443.433,442.955,-0.001077953,3.16,0.00556632,0.004488367,0.007365818,Consumer Staples,11507.75,0,11507.75,519.75,9984.75,1003.25,0
CMCSA-US,Comcast Corporation Class A,12/31/2021,12/31/2021,12/31/2021,0,50.33,229953.97,322538.97,113757,19929,26499,14369,12130,0.350929093,0.466620003,0.253023239,2.003143201,27663,12741.25,11551,53418.5,56789.25,0.052355065,0.155047308,0.175189219,0.127306451,14482,276611.25,93403.75,2722,0.011837152,0.061787883,0.082157514,0.044549656,19051,0.04608682,18269,0.090864306,16647,0.19715264,104254,0.091152378,88576,0.28428694,78623,0.446866693,25930,0.021943695,23949,0.106476262,18462,0.435326617,4568.924375,4575.323155,0.0014005,1,0.019868865,0.021269366,0.031706017,Communication Services,12741.25,8972.5,21713.75,3185.75,103915.25,-85387.25,#N/A
ACN-US,Accenture Plc Class A,12/31/2021,12/31/2021,12/31/2021,0,414.55,272911.94,271330.6,53736.357,8274.669,7903.174,7234.486,668.688,0.582836555,0.556669845,0.509569978,3.784986833,19748.43525,8250.1155,2037.88125,4736.799,14197.2375,0.14672171,0.319735598,0.153986416,0.11533266,6197.557,42240.21775,19383.38125,2643.581,0.009686571,0.03049663,0.02912747,0.026662993,6686.471,0.237524099,6046.784,0.368441307,4921.739,0.681249046,44730.266,0.201342219,42154.481,0.274748395,35337.28,0.520670436,9031.086,-0.124892178,6048.361,0.306663739,5047.692,0.565700522,658.333,633.620202,-0.037538446,3.88,0.009359546,-0.0281789,0.019046118,Information Technology,8250.1155,372.19875,8622.31425,747.117,2729.425,5145.77225,#N/A
CSCO-US,"Cisco Systems, Inc.",12/31/2021,12/31/2021,12/31/2021,0,63.37,267269.94,254602.94,50789,13876,14785,14142,643,0.923266297,0.983748357,0.940965118,3.379343613,39417.75,25517,2232.5,3361,15029.25,0.119036491,0.279163758,0.273208766,0.224398984,11397,95743.75,40825.5,2388,0.008934787,0.054500549,0.058070814,0.055545313,13515,0.026711062,13625,0.018422018,13110,0.05842868,48069,0.056585325,50265,0.010424749,48917,0.038268904,15935,-0.072168183,14349,0.030385393,13534,0.09243387,4217.61,4222,0.001040874,1.48,0.0233549,0.024395774,0.032289687,Information Technology,25517,2339.75,27856.75,2851.25,10031,14974.5,6651
PEP-US,"PepsiCo, Inc.",12/31/2021,12/31/2021,12/31/2021,0,173.71,240180.14,274705.13,76677,11387,11124,6682,4442,0.558692932,0.545789073,0.327846331,3.762088168,22364,7200.75,16572.75,21791,20381.5,0.088062935,0.555965308,0.148506071,0.106172646,8141,92445.25,14643,383,0.001594636,0.04145172,0.040494329,0.024324264,10524,0.082003041,10304,0.105104814,10220,0.114187867,68557,0.118441589,64663,0.18579404,61870,0.23932439,10709,0.038752451,8664,0.283933518,10400,0.069615385,1382.65,1383,0.000253137,4.3,0.0247539,0.025007037,0.026348537,Consumer Staples,7200.75,2783.5,9984.25,4353,38912.75,-33281.5,#N/A
CVX-US,Chevron Corporation,12/31/2021,12/31/2021,12/31/2021,0,117.35,226214.4,258143.4,135141,12854,21967,14705,7262,0.078568602,0.13427077,0.089882627,0.826033872,30405.25,6932.25,13301.5,153430.75,163602.25,0.041091529,0.074386993,0.095115472,0.073293819,9905,241047.25,133155,231,0.001021155,0.049794029,0.085096113,0.056964462,-13753,-1.934632444,11718,0.096944871,-8745,-2.469868496,104021,0.29917036,155389,-0.130305234,108063,0.250576053,13996,0.569519863,27697,-0.206881612,13540,0.622378139,1927.69,1867.323448,-0.031315487,5.36,0.04567533,0.014359843,0.046696485,Energy,6932.25,40880.25,47812.5,2867,40639.5,4306,#N/A
LLY-US,Eli Lilly and Company,12/31/2021,12/31/2021,12/31/2021,0,276.22,264229.84,277687.03,27758.5,7478.1,6919.4,4620.9,2298.5,0.356022862,0.329423863,0.219995192,1.321546998,17292.6,3457.3,1602.725,8771.975,21004.55,0.126088182,0.893346347,0.269398563,0.215155718,5972.4,47366.85,6685.425,500,0.001892292,0.026929958,0.024917981,0.016640676,6073.2,0.231327801,5939.4,0.259066572,3561.3,1.099823098,23213.8,0.195775789,24277.8,0.143369663,20837.2,0.332160751,6648.1,0.040808652,5819.3,0.189043356,3538.4,0.955516618,956.592,956.978,0.000403516,3.92,0.014191586,0.014595102,0.016083878,Health Care,3457.3,3511.125,6968.425,838.775,15761.3,-9631.65,6904.5
PYPL-US,"PayPal Holdings, Inc.",12/31/2021,12/31/2021,12/31/2021,0,188.58,221568.31,216976.31,24799,4509,5824,4903,921,0.942221293,1.217009717,1.024553338,5.182112632,52947,12964,37701,2503.5,4785.5,0.067777755,0.239403311,0.181821848,0.19899996,4935,72811.5,20613.75,1983,0.008949836,0.020781071,0.02684164,0.022596937,3104,0.452641753,2852,0.580995792,1435,2.142160279,20183,0.228707328,14993,0.654038551,10316,1.403935634,5871,-0.008005451,4202,0.386006663,2746,1.120903132,1174.93,1172,-0.002493766,0,0,-0.002493766,0.008949836,Information Technology,12964,6462,19426,139.25,9317.75,9969,2974
ABT-US,Abbott Laboratories,12/31/2021,12/31/2021,12/31/2021,0,140.74,248869.16,257790.16,42308,9167,11264,9314,1950,0.490318785,0.602481814,0.498181429,2.262943945,22094.25,8539,4011.5,9152.25,18696,0.098605663,0.21425599,0.21667297,0.17036967,7208,73099.25,33642,1297,0.005211574,0.03555993,0.043694453,0.036130161,4282,1.140822046,3443,1.662503631,3097,1.959961253,32221,0.313056702,30402,0.391618972,20708,1.04307514,6519,0.727872373,6175,0.824129555,2861,2.937084935,1768.29,1772.361581,0.002302553,1.88,0.013357965,0.015660518,0.018569539,Health Care,8539,938,9477,830.25,17977.75,-9331,2678
AVGO-US,Broadcom Inc.,12/31/2021,12/31/2021,12/31/2021,0,665.41,274730.47,302867.47,27450,8704,13764,13321,443,1.400201086,2.214196662,2.142931832,4.415845566,15191.75,10584.5,945.5,2554.5,6216.25,0.088647326,0.276856999,0.31708561,0.245391621,6736,75986.5,24330.25,1129,0.004109482,0.028738643,0.04544562,0.043982934,4357,0.997704843,5388,0.615441722,675,11.89481481,23888,0.149112525,20848,0.316673062,13240,1.07326284,12061,0.141198906,8880,0.55,#N/A,#N/A,412.874,407,-0.014227101,16.4,0.024646459,0.010419358,0.028755941,Information Technology,10584.5,0,10584.5,448.5,40326.5,-30190.5,4854
VZ-US,Verizon Communications Inc.,12/31/2021,12/31/2021,12/31/2021,0,51.96,215122.72,383645.72,134238,32926,40458,-24593,65051,0.255577117,0.31404176,-0.190894978,1.0419778,40119.75,12615.75,18839.5,120165.5,128830,0.064600231,0.3042077,0.24528077,0.164185998,22040,341175.25,72450.5,0,0,0.085823973,0.10545667,-0.064103413,29842,0.10334428,28289,0.163915303,27377,0.202688388,128375,0.045670886,130537,0.028352115,127894,0.049603578,41470,-0.024403183,34328,0.178571429,28133,0.438097608,4140.16,4138.094367,-0.000498926,2.56,0.049268668,0.048769742,0.049268668,Communication Services,12615.75,2793.25,15409,10961.25,160938,-156490.25,#N/A
KO-US,Coca-Cola Company,12/31/2021,12/31/2021,12/31/2021,0,59.21,255787.2,284580.2,37928,10996,12855,11709,1146,1.317833174,1.540627996,1.403283797,4.545541707,21973.25,12853.5,11676.5,10900.75,8344,0.0984448,0.419257392,0.289917739,0.232361316,8813,89522.25,21020.5,-497,-0.001943021,0.038639371,0.0451718,0.041144816,9610,0.144224766,9813,0.120554367,9251,0.188628256,33440,0.134210526,32070,0.182662925,41917,-0.095164253,8920,0.441143498,6557,0.960500229,8861,0.450739194,4320,4297,-0.005324074,1.68,0.028373586,0.023049511,0.026430564,Consumer Staples,12853.5,22426.75,35280.25,3080.25,40198.25,-7998.25,#N/A
NKE-US,"NIKE, Inc. Class B",12/31/2021,12/31/2021,12/31/2021,0,166.67,263806.94,262901.94,46322,7461,6886,6183,703,0.413797736,0.385472296,0.346118967,2.593065305,25633,13322.8,2435.4,7989,17863.8,0.16619521,0.477439827,0.159578602,0.13317646,6169,37119,12921,17,6.44E-05,0.028116947,0.026192275,0.023518275,2949,1.506612411,4684,0.578138343,3948,0.872340426,37348,0.240280604,37238,0.243944358,33043,0.40187029,2973,1.316178944,5681,0.212110544,3326,1.070354781,1582.81,1565,-0.01125214,1.22,0.007319854,-0.003932287,0.007384295,Consumer Discretionary,13322.8,26.5,13349.3,478,12318.2,553.1,#N/A
WMT-US,Walmart Inc.,12/31/2021,12/31/2021,12/31/2021,0,144.69,401352.7,451321.7,571962,27642,29485,17071,12414,0.229066749,0.244339523,0.14146583,4.739797261,81966.25,19882.25,51012.25,109600.5,120672.25,0.032987825,0.099607841,0.048328385,0.014021911,8020,243120,80515.75,8807,0.021943293,0.061246778,0.06533034,0.037824461,26329,0.049868966,21557,0.282274899,22580,0.224180691,548743,0.042313068,511879,0.117377349,483983,0.181781178,33596,-0.122365758,28585,0.031485045,32028,-0.079399276,2773.88,2831,0.020592095,2.2,0.015204921,0.035797016,0.037148214,Consumer Staples,19882.25,12838.25,32720.5,4839.75,56296.25,-28415.5,#N/A
